"id.date","price","price.All.X..rcv.glmnet","price.All.X..rcv.glmnet.err","price.All.X..rcv.glmnet.err.abs","price.All.X..rcv.glmnet.is.acc"
"1000102#20140916T000000",280000,593169.009550903,313169.009550903,313169.009550903,FALSE
"1000102#20150422T000000",300000,594487.825761175,294487.825761175,294487.825761175,FALSE
"100300280#20141020T000000",355000,323431.758191956,-31568.2418080438,31568.2418080438,FALSE
"100300500#20141121T000000",333000,356673.096284028,23673.0962840284,23673.0962840284,FALSE
"1003400155#20140811T000000",233000,321202.628884402,88202.628884402,88202.628884402,FALSE
"1003600056#20141024T000000",239000,430625.956584129,191625.956584129,191625.956584129,FALSE
"1005000036#20140613T000000",285000,490411.018894216,205411.018894216,205411.018894216,FALSE
"1005000062#20140801T000000",299000,297148.206106756,-1851.79389324423,1851.79389324423,FALSE
"1021049022#20140520T000000",415000,304925.715049098,-110074.284950902,110074.284950902,FALSE
"1022059032#20140812T000000",401500,807176.657199676,405676.657199676,405676.657199676,FALSE
"1022059123#20141226T000000",250000,589192.415717884,339192.415717884,339192.415717884,FALSE
"1022069050#20150227T000000",207000,352102.419606958,145102.419606958,145102.419606958,FALSE
"1023059186#20150126T000000",252000,366482.181597026,114482.181597026,114482.181597026,FALSE
"1023059246#20140514T000000",437000,582643.339404171,145643.339404171,145643.339404171,FALSE
"1023059324#20140623T000000",235000,350824.596630357,115824.596630357,115824.596630357,FALSE
"1024069205#20150114T000000",1175000,1431316.76957394,256316.769573943,256316.769573943,FALSE
"1025049266#20140930T000000",555000,346840.923516509,-208159.076483491,208159.076483491,FALSE
"1026069061#20150129T000000",682000,992257.917786053,310257.917786053,310257.917786053,FALSE
"1026069134#20140825T000000",619000,575042.64762508,-43957.3523749204,43957.3523749204,FALSE
"1036000080#20141009T000000",525000,420516.65973552,-104483.34026448,104483.34026448,FALSE
"1036100130#20140808T000000",442000,425614.567343961,-16385.4326560391,16385.4326560391,FALSE
"1036400200#20150429T000000",697000,419039.738253279,-277960.261746721,277960.261746721,FALSE
"1038000040#20140605T000000",499950,582720.953977824,82770.953977824,82770.953977824,FALSE
"104510230#20141119T000000",252000,366000.007897523,114000.007897523,114000.007897523,FALSE
"104530110#20141008T000000",268000,493278.994267698,225278.994267698,225278.994267698,FALSE
"104550540#20150120T000000",259950,395783.686630021,135833.686630021,135833.686630021,FALSE
"104550740#20141201T000000",299000,614449.645973812,315449.645973812,315449.645973812,FALSE
"104550750#20140728T000000",241000,359501.341039319,118501.341039319,118501.341039319,FALSE
"1049010300#20150427T000000",435000,412434.922040987,-22565.0779590133,22565.0779590133,FALSE
