"id.date","price","price.All.X..rcv.glmnet","price.All.X..rcv.glmnet.err","price.All.X..rcv.glmnet.err.abs","price.All.X..rcv.glmnet.is.acc"
"1000102#20140916T000000",280000,562550.221787424,282550.221787424,282550.221787424,FALSE
"1000102#20150422T000000",300000,565501.939798283,265501.939798283,265501.939798283,FALSE
"100300280#20141020T000000",355000,572126.628044345,217126.628044345,217126.628044345,FALSE
"100300500#20141121T000000",333000,565405.673901963,232405.673901963,232405.673901963,FALSE
"1003400155#20140811T000000",233000,565656.83390748,332656.83390748,332656.83390748,FALSE
"1003600056#20141024T000000",239000,563471.710963432,324471.710963432,324471.710963432,FALSE
"1005000036#20140613T000000",285000,568333.068590431,283333.068590431,283333.068590431,FALSE
"1005000062#20140801T000000",299000,568043.552134339,269043.552134339,269043.552134339,FALSE
"1021049022#20140520T000000",415000,570573.927592025,155573.927592025,155573.927592025,FALSE
"1022059032#20140812T000000",401500,565412.113190255,163912.113190255,163912.113190255,FALSE
"1022059123#20141226T000000",250000,569010.394852481,319010.394852481,319010.394852481,FALSE
"1022069050#20150227T000000",207000,562550.952394196,355550.952394196,355550.952394196,FALSE
"1023059186#20150126T000000",252000,574698.225126484,322698.225126484,322698.225126484,FALSE
"1023059246#20140514T000000",437000,570208.408032371,133208.408032371,133208.408032371,FALSE
"1023059324#20140623T000000",235000,562594.618345754,327594.618345754,327594.618345754,FALSE
"1024069205#20150114T000000",1175000,564036.363530762,-610963.636469238,610963.636469238,FALSE
"1025049266#20140930T000000",555000,572646.821418139,17646.8214181392,17646.8214181392,FALSE
"1026069061#20150129T000000",682000,569173.96342443,-112826.03657557,112826.03657557,FALSE
"1026069134#20140825T000000",619000,568590.421757597,-50409.5782424028,50409.5782424028,FALSE
"1036000080#20141009T000000",525000,562832.682537071,37832.6825370706,37832.6825370706,FALSE
"1036100130#20140808T000000",442000,571617.16482766,129617.16482766,129617.16482766,FALSE
"1036400200#20150429T000000",697000,566048.560935949,-130951.439064051,130951.439064051,FALSE
"1038000040#20140605T000000",499950,572185.022786316,72235.022786316,72235.022786316,FALSE
"104510230#20141119T000000",252000,567795.625445064,315795.625445064,315795.625445064,FALSE
"104530110#20141008T000000",268000,566910.794375715,298910.794375715,298910.794375715,FALSE
"104550540#20150120T000000",259950,566132.38094534,306182.38094534,306182.38094534,FALSE
"104550740#20141201T000000",299000,565844.138282435,266844.138282435,266844.138282435,FALSE
"104550750#20140728T000000",241000,570392.202070846,329392.202070846,329392.202070846,FALSE
"1049010300#20150427T000000",435000,564928.14418136,129928.14418136,129928.14418136,FALSE
"1061500510#20141015T000000",350000,565007.031202073,215007.031202073,215007.031202073,FALSE
"1061500630#20150205T000000",359900,570150.221373143,210250.221373143,210250.221373143,FALSE
"1062100100#20140626T000000",424000,572772.405171456,148772.405171456,148772.405171456,FALSE
"1068000235#20140605T000000",1155000,567957.393854461,-587042.606145539,587042.606145539,FALSE
"1081300390#20141030T000000",330000,566352.014306064,236352.014306064,236352.014306064,FALSE
"1081300450#20140814T000000",364000,565111.799306537,201111.799306537,201111.799306537,FALSE
"1081330210#20140911T000000",410000,570588.772427899,160588.772427899,160588.772427899,FALSE
"1081800070#20141118T000000",425000,572471.478944251,147471.478944251,147471.478944251,FALSE
"1087700030#20140619T000000",450000,569121.076507807,119121.076507807,119121.076507807,FALSE
"1088800850#20140502T000000",612500,566278.041933763,-46221.9580662368,46221.9580662368,FALSE
"1088801350#20150210T000000",525000,564511.162646853,39511.1626468532,39511.1626468532,FALSE
"1089700010#20141008T000000",540000,563285.931044383,23285.9310443829,23285.9310443829,FALSE
"109000040#20150316T000000",305000,567383.161084653,262383.161084653,262383.161084653,FALSE
"109200390#20140820T000000",245000,567123.179187011,322123.179187011,322123.179187011,FALSE
"109200390#20141020T000000",250000,570482.827992093,320482.827992093,320482.827992093,FALSE
"1099610260#20140826T000000",212000,563380.987435612,351380.987435612,351380.987435612,FALSE
"1099900030#20150415T000000",325000,565513.443701196,240513.443701196,240513.443701196,FALSE
"1102000196#20140527T000000",477000,565094.548205523,88094.5482055232,88094.5482055232,FALSE
