"id.date","price","price.All.X..rcv.glmnet","price.All.X..rcv.glmnet.err","price.All.X..rcv.glmnet.err.abs","price.All.X..rcv.glmnet.is.acc"
"114101516#20140528T000000",310000,357289.158171647,47289.1581716468,47289.1581716468,FALSE
"9297300055#20150124T000000",650000,783050.988712912,133050.988712912,133050.988712912,FALSE
"1202000200#20141103T000000",233000,435718.969060827,202718.969060827,202718.969060827,FALSE
"8562750320#20141110T000000",580500,606583.914212256,26083.9142122562,26083.9142122562,FALSE
"7589200193#20141110T000000",535000,262052.959234785,-272947.040765215,272947.040765215,FALSE
"2078500320#20140620T000000",605000,690615.854450664,85615.8544506638,85615.8544506638,FALSE
"7766200013#20140811T000000",775000,1138786.20238884,363786.202388838,363786.202388838,FALSE
"9478500640#20140819T000000",292500,586976.461489961,294476.461489961,294476.461489961,FALSE
"9558200045#20140828T000000",289000,309671.058703216,20671.0587032158,20671.0587032158,FALSE
"8820901275#20140610T000000",571000,727029.695220641,156029.695220641,156029.695220641,FALSE
"3444100400#20150316T000000",349000,458127.486457736,109127.486457736,109127.486457736,FALSE
"7437100340#20141222T000000",360000,488939.197878485,128939.197878485,128939.197878485,FALSE
"2791500270#20140522T000000",243500,511347.715275394,267847.715275394,267847.715275394,FALSE
"3422049190#20150330T000000",247500,505745.585926167,258245.585926167,258245.585926167,FALSE
"3134100116#20140827T000000",470000,525353.038648462,55353.0386484622,55353.0386484622,FALSE
"8961960160#20141028T000000",480000,861480.799602093,381480.799602093,381480.799602093,FALSE
"3275860240#20140618T000000",770000,771846.730014458,1846.73001445795,1846.73001445795,FALSE
"2767603505#20140507T000000",519950,284461.476631693,-235488.523368307,235488.523368307,FALSE
"1777500060#20140708T000000",527700,746637.147942936,218937.147942936,218937.147942936,FALSE
"6140100875#20150415T000000",420000,253649.765210944,-166350.234789056,166350.234789056,FALSE
"809001525#20140625T000000",890000,671008.401728369,-218991.598271631,218991.598271631,FALSE
"537000445#20150331T000000",282950,306869.994028602,23919.9940286022,23919.9940286022,FALSE
"84000105#20140507T000000",255000,533756.232672303,278756.232672303,278756.232672303,FALSE
"2617300160#20140812T000000",420000,522551.973973849,102551.973973849,102551.973973849,FALSE
"1836980160#20150324T000000",807100,707422.242498345,-99677.7575016547,99677.7575016547,FALSE
"4330600435#20150316T000000",284000,393702.998941623,109702.998941623,109702.998941623,FALSE
"1762600070#20150116T000000",917500,1043550.00345198,126050.003451976,126050.003451976,FALSE
"7234600798#20150210T000000",425000,270456.153258626,-154543.846741374,154543.846741374,FALSE
"3830630310#20140725T000000",260000,424514.710362373,164514.710362373,164514.710362373,FALSE
"2222059065#20141112T000000",297000,500143.45657694,203143.45657694,203143.45657694,FALSE
"3211100860#20150303T000000",274250,211633.79509174,-62616.2049082599,62616.2049082599,FALSE
"3456000310#20140804T000000",840000,651400.949006074,-188599.050993926,188599.050993926,FALSE
"9526600140#20140919T000000",677900,640196.690307619,-37703.3096923807,37703.3096923807,FALSE
"257000138#20150115T000000",280000,194827.407044059,-85172.5929559414,85172.5929559414,FALSE
"7138000260#20140605T000000",279950,446923.227759282,166973.227759282,166973.227759282,FALSE
"8682281200#20150309T000000",479950,379697.675568555,-100252.324431445,100252.324431445,FALSE
"7972000200#20140529T000000",264950,438520.033735441,173570.033735441,173570.033735441,FALSE
"1762600320#20140610T000000",1025000,1009937.22735661,-15062.7726433871,15062.7726433871,FALSE
"2025069065#20140929T000000",2400000,979125.515935863,-1420874.48406414,1420874.48406414,FALSE
"3832710960#20140923T000000",260000,463729.615806963,203729.615806963,203729.615806963,FALSE
"3325069129#20141216T000000",525000,544960.491370757,19960.4913707572,19960.4913707572,FALSE
"2123039032#20141027T000000",369900,169617.824972536,-200282.175027464,200282.175027464,FALSE
"1745100140#20141017T000000",210000,432917.904386214,222917.904386214,222917.904386214,FALSE
"1722059235#20140703T000000",304900,685013.725101437,380113.725101437,380113.725101437,FALSE
"6874200960#20150227T000000",170000,197628.471718672,27628.4717186722,27628.4717186722,FALSE
"7424700045#20150513T000000",2050000,1029544.68007891,-1020455.31992109,1020455.31992109,FALSE
"7202360350#20140630T000000",780000,937109.54581666,157109.54581666,157109.54581666,FALSE
"5634500392#20150410T000000",330000,634594.560958392,304594.560958392,304594.560958392,FALSE
"1115450240#20141022T000000",360000,561766.879418439,201766.879418439,201766.879418439,FALSE
"9297300045#20140709T000000",550000,508546.650600781,-41453.3493992194,41453.3493992194,FALSE
"5104530560#20150401T000000",208633,528154.103323076,319521.103323076,319521.103323076,FALSE
"4330600350#20150115T000000",315000,572971.138116893,257971.138116893,257971.138116893,FALSE
"4139480200#20140618T000000",1384000,1158393.65511113,-225606.344888867,225606.344888867,FALSE
"4139480200#20141209T000000",1400000,1158393.65511113,-241606.344888867,241606.344888867,FALSE
"9521101455#20140723T000000",548000,368493.416870101,-179506.583129899,179506.583129899,FALSE
"2597650240#20141023T000000",520000,525353.038648462,5353.03864846216,5353.03864846216,FALSE
"3353400435#20140721T000000",230000,362891.287520874,132891.287520874,132891.287520874,FALSE
"7520000520#20140905T000000",232000,304068.929353989,72068.9293539886,72068.9293539886,FALSE
"1959700550#20140905T000000",740000,530955.167997689,-209044.832002311,209044.832002311,FALSE
"9550201550#20150408T000000",640000,256450.829885558,-383549.170114442,383549.170114442,FALSE
"191100045#20140703T000000",940000,654202.013680687,-285797.986319313,285797.986319313,FALSE
"200350070#20140602T000000",559900,777448.859363685,217548.859363685,217548.859363685,FALSE
"405100295#20140826T000000",265000,354488.093497033,89488.0934970332,89488.0934970332,FALSE
"6414100671#20140909T000000",425000,657003.078355301,232003.078355301,232003.078355301,FALSE
"7852110140#20140718T000000",552250,679411.595752209,127161.595752209,127161.595752209,FALSE
"808000070#20141021T000000",206600,346084.899473192,139484.899473192,139484.899473192,FALSE
"7325600160#20140604T000000",299000,113596.531480265,-185403.468519735,185403.468519735,FALSE
"2757000030#20140922T000000",855000,592578.590839188,-262421.409160812,262421.409160812,FALSE
"3363900111#20141203T000000",437500,234042.312488649,-203457.687511351,203457.687511351,FALSE
"2201500030#20141006T000000",420000,446923.227759282,26923.2277592816,26923.2277592816,FALSE
"7855801090#20140917T000000",795000,808260.570784435,13260.5707844346,13260.5707844346,FALSE
"1118500030#20141001T000000",810000,942711.675165887,132711.675165887,132711.675165887,FALSE
"3291800710#20141120T000000",338000,542159.426696144,204159.426696144,204159.426696144,FALSE
"2231500030#20141001T000000",315000,567369.008767666,252369.008767666,252369.008767666,FALSE
"9423400140#20140609T000000",450000,416111.516338532,-33888.4836614678,33888.4836614678,FALSE
"8651600160#20141111T000000",799000,659804.143029914,-139195.856970086,139195.856970086,FALSE
"1223039290#20140905T000000",403950,550562.620719984,146612.620719984,146612.620719984,FALSE
"8857320070#20140917T000000",490000,511347.715275394,21347.7152753941,21347.7152753941,FALSE
"4047200695#20140618T000000",330000,404907.257640078,74907.2576400778,74907.2576400778,FALSE
"1653500070#20140512T000000",927000,881088.252324388,-45911.7476756121,45911.7476756121,FALSE
"7375300160#20150309T000000",530000,718626.5011968,188626.5011968,188626.5011968,FALSE
"6021501685#20150422T000000",352000,220036.989115581,-131963.010884419,131963.010884419,FALSE
"8856950240#20140618T000000",322500,466530.680481577,144030.680481577,144030.680481577,FALSE
"9385200055#20140912T000000",650000,379697.675568555,-270302.324431445,270302.324431445,FALSE
"1678400105#20150212T000000",339000,626191.366934551,287191.366934551,287191.366934551,FALSE
"3426059070#20140909T000000",570000,771846.730014458,201846.730014458,201846.730014458,FALSE
"2697100140#20150105T000000",423000,572971.138116893,149971.138116893,149971.138116893,FALSE
"625049299#20141203T000000",482000,222838.053790195,-259161.946209805,259161.946209805,FALSE
"9808650060#20150225T000000",1300000,614987.108236097,-685012.891763903,685012.891763903,FALSE
"2944010240#20140908T000000",988000,1088367.03824579,100367.038245793,100367.038245793,FALSE
"3454000060#20140722T000000",1e+06,687814.78977605,-312185.21022395,312185.21022395,FALSE
"822079033#20150422T000000",350000,306869.994028602,-43130.0059713978,43130.0059713978,FALSE
"8857600960#20140819T000000",205000,220036.989115581,15036.9891155809,15036.9891155809,FALSE
"3775300030#20141231T000000",333500,298466.800004761,-35033.1999952386,35033.1999952386,FALSE
"1796360350#20150128T000000",255000,304068.929353989,49068.9293539886,49068.9293539886,FALSE
"1843100340#20150305T000000",348000,676610.531077596,328610.531077596,328610.531077596,FALSE
"2621760350#20141015T000000",325000,474933.874505417,149933.874505417,149933.874505417,FALSE
"1723049270#20150107T000000",340500,592578.590839188,252078.590839188,252078.590839188,FALSE
"2172000075#20140623T000000",290900,407708.322314691,116808.322314691,116808.322314691,FALSE
"66000070#20150406T000000",315000,133203.98420256,-181796.01579744,181796.01579744,FALSE
"2625069070#20150410T000000",1385000,1318054.34156411,-66945.6584358923,66945.6584358923,FALSE
"8562501040#20141120T000000",452000,399305.128290851,-52694.8717091494,52694.8717091494,FALSE
"2475200140#20150205T000000",370000,427315.775036987,57315.7750369865,57315.7750369865,FALSE
"4432600075#20150128T000000",725000,547761.556045371,-177238.443954629,177238.443954629,FALSE
"9274202270#20140818T000000",625000,374095.546219328,-250904.453780672,250904.453780672,FALSE
"1245002952#20141015T000000",1197350,732631.824569868,-464718.175430132,464718.175430132,FALSE
"5379805885#20140521T000000",240000,329278.511425511,89278.5114255109,89278.5114255109,FALSE
"2827100070#20141105T000000",290000,329278.511425511,39278.5114255109,39278.5114255109,FALSE
"4386700135#20141114T000000",2250000,1290043.69481797,-959956.305182028,959956.305182028,FALSE
"1432400335#20150325T000000",288000,290063.605980921,2063.60598092066,2063.60598092066,FALSE
"3225079035#20140618T000000",1600000,1651381.03784312,51381.0378431247,51381.0378431247,FALSE
"1521069070#20150218T000000",204000,248047.635861717,44047.6358617168,44047.6358617168,FALSE
