"id.date","price","price.All.X..rcv.glmnet","price.All.X..rcv.glmnet.err","price.All.X..rcv.glmnet.err.abs","price.All.X..rcv.glmnet.is.acc"
"114101516#20140528T000000",310000,550951.943880975,240951.943880975,240951.943880975,FALSE
"9297300055#20150124T000000",650000,550953.276675447,-99046.7233245532,99046.7233245532,FALSE
"1202000200#20141103T000000",233000,550954.609469919,317954.609469919,317954.609469919,FALSE
"8562750320#20141110T000000",580500,550955.942264391,-29544.0577356094,29544.0577356094,FALSE
"7589200193#20141110T000000",535000,550957.275058863,15957.2750588625,15957.2750588625,FALSE
"2078500320#20140620T000000",605000,550958.607853334,-54041.3921466656,54041.3921466656,FALSE
"7766200013#20140811T000000",775000,550959.940647806,-224040.059352194,224040.059352194,FALSE
"9478500640#20140819T000000",292500,550961.273442278,258461.273442278,258461.273442278,FALSE
"9558200045#20140828T000000",289000,550962.60623675,261962.60623675,261962.60623675,FALSE
"8820901275#20140610T000000",571000,550963.939031222,-20036.0609687779,20036.0609687779,FALSE
"3444100400#20150316T000000",349000,550965.271825694,201965.271825694,201965.271825694,FALSE
"7437100340#20141222T000000",360000,550966.604620166,190966.604620166,190966.604620166,FALSE
"2791500270#20140522T000000",243500,550967.937414638,307467.937414638,307467.937414638,FALSE
"3422049190#20150330T000000",247500,550969.27020911,303469.27020911,303469.27020911,FALSE
"3134100116#20140827T000000",470000,550970.603003582,80970.6030035818,80970.6030035818,FALSE
"8961960160#20141028T000000",480000,550971.935798054,70971.9357980537,70971.9357980537,FALSE
"3275860240#20140618T000000",770000,550973.268592526,-219026.731407474,219026.731407474,FALSE
"2767603505#20140507T000000",519950,550974.601386998,31024.6013869976,31024.6013869976,FALSE
"1777500060#20140708T000000",527700,550975.934181469,23275.9341814695,23275.9341814695,FALSE
"6140100875#20150415T000000",420000,550977.266975941,130977.266975941,130977.266975941,FALSE
"809001525#20140625T000000",890000,550978.599770413,-339021.400229587,339021.400229587,FALSE
"537000445#20150331T000000",282950,550979.932564885,268029.932564885,268029.932564885,FALSE
"84000105#20140507T000000",255000,550981.265359357,295981.265359357,295981.265359357,FALSE
"2617300160#20140812T000000",420000,550982.598153829,130982.598153829,130982.598153829,FALSE
"1836980160#20150324T000000",807100,550983.930948301,-256116.069051699,256116.069051699,FALSE
"4330600435#20150316T000000",284000,550985.263742773,266985.263742773,266985.263742773,FALSE
"1762600070#20150116T000000",917500,550986.596537245,-366513.403462755,366513.403462755,FALSE
"7234600798#20150210T000000",425000,550987.929331717,125987.929331717,125987.929331717,FALSE
"3830630310#20140725T000000",260000,550989.262126189,290989.262126189,290989.262126189,FALSE
"2222059065#20141112T000000",297000,550990.594920661,253990.594920661,253990.594920661,FALSE
